date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-05-07T00:00:00.000Z,1.59,1.64,1.56,1.58,1022901,6.36,6.56,6.24,6.32,255725,0,1
2018-05-08T00:00:00.000Z,1.45,1.59,1.45,1.56,1709558,5.8,6.36,5.8,6.24,427389,0,1
2018-05-09T00:00:00.000Z,1.51,1.58,1.46,1.48,1169407,6.04,6.32,5.84,5.92,292351,0,1
2018-05-10T00:00:00.000Z,1.43,1.54,1.4,1.51,1111632,5.72,6.16,5.6,6.04,277908,0,1
2018-05-11T00:00:00.000Z,1.37,1.42,1.35,1.35,921190,5.48,5.68,5.4,5.4,230297,0,1
2018-05-14T00:00:00.000Z,1.44,1.449,1.34,1.37,1090709,5.76,5.796,5.36,5.48,272677,0,1
2018-05-15T00:00:00.000Z,1.39,1.43,1.38,1.41,692336,5.56,5.72,5.52,5.64,173084,0,1
2018-05-16T00:00:00.000Z,1.4,1.42,1.33,1.38,790544,5.6,5.68,5.32,5.52,197636,0,1
2018-05-17T00:00:00.000Z,1.48,1.58,1.38,1.41,1188403,5.92,6.32,5.52,5.64,297100,0,1
2018-05-18T00:00:00.000Z,1.47,1.53,1.4301,1.46,762875,5.88,6.12,5.7204,5.84,190718,0,1
2018-05-21T00:00:00.000Z,1.3901,1.47,1.3901,1.45,667645,5.5604,5.88,5.5604,5.8,166911,0,1
2018-05-22T00:00:00.000Z,1.35,1.39,1.32,1.38,733749,5.4,5.56,5.28,5.52,183437,0,1
2018-05-23T00:00:00.000Z,1.29,1.31,1.25,1.31,846465,5.16,5.24,5,5.24,211616,0,1
2018-05-24T00:00:00.000Z,1.298,1.32,1.27,1.27,372669,5.192,5.28,5.08,5.08,93167,0,1
2018-05-25T00:00:00.000Z,1.3,1.35,1.29,1.3,301589,5.2,5.4,5.16,5.2,75397,0,1
2018-05-29T00:00:00.000Z,1.32,1.35,1.3,1.33,333514,5.28,5.4,5.2,5.32,83378,0,1
2018-05-30T00:00:00.000Z,1.2999,1.3399,1.28,1.33,297562,5.1996,5.3596,5.12,5.32,74390,0,1
2018-05-31T00:00:00.000Z,1.39,1.41,1.27,1.3,1448107,5.56,5.64,5.08,5.2,362026,0,1
2018-06-01T00:00:00.000Z,1.35,1.3889,1.32,1.38,410840,5.4,5.5556,5.28,5.52,102710,0,1
2018-06-04T00:00:00.000Z,1.28,1.365,1.26,1.36,644968,5.12,5.46,5.04,5.44,161242,0,1
2018-06-05T00:00:00.000Z,1.33,1.36,1.25,1.27,819308,5.32,5.44,5,5.08,204827,0,1
2018-06-06T00:00:00.000Z,1.33,1.4,1.29,1.35,1271726,5.32,5.6,5.16,5.4,317931,0,1
2018-06-07T00:00:00.000Z,1.31,1.359,1.3,1.33,438668,5.24,5.436,5.2,5.32,109667,0,1
2018-06-08T00:00:00.000Z,1.29,1.35,1.29,1.33,303170,5.16,5.4,5.16,5.32,75792,0,1
2018-06-11T00:00:00.000Z,1.2,1.27,1.2,1.26,1207345,4.8,5.08,4.8,5.04,301836,0,1
2018-06-12T00:00:00.000Z,1.1701,1.23,1.16,1.23,516712,4.6804,4.92,4.64,4.92,129178,0,1
2018-06-13T00:00:00.000Z,1.18,1.2,1.16,1.18,491995,4.72,4.8,4.64,4.72,122998,0,1
2018-06-14T00:00:00.000Z,1.21,1.214,1.15,1.19,624233,4.84,4.856,4.6,4.76,156058,0,1
2018-06-15T00:00:00.000Z,1.21,1.25,1.18,1.23,415691,4.84,5,4.72,4.92,103922,0,1
2018-06-18T00:00:00.000Z,1.19,1.2,1.17,1.18,288611,4.76,4.8,4.68,4.72,72152,0,1
2018-06-19T00:00:00.000Z,1.17,1.209,1.17,1.2,230330,4.68,4.836,4.68,4.8,57582,0,1
2018-06-20T00:00:00.000Z,1.15,1.18,1.15,1.16,469610,4.6,4.72,4.6,4.64,117402,0,1
2018-06-21T00:00:00.000Z,1.1472,1.1701,1.14,1.17,251671,4.5888,4.6804,4.56,4.68,62917,0,1
2018-06-22T00:00:00.000Z,1.095,1.13,1.05,1.11,364572,4.38,4.52,4.2,4.44,91143,0,1
2018-06-25T00:00:00.000Z,1.035,1.12,1.03,1.12,457197,4.14,4.48,4.12,4.48,114299,0,1
2018-06-26T00:00:00.000Z,0.9801,1.0299,0.93,1.02,828426,3.9204,4.1196,3.72,4.08,207106,0,1
2018-06-27T00:00:00.000Z,0.9817,1.02,0.9602,0.97,347886,3.9268,4.08,3.8408,3.88,86971,0,1
2018-06-28T00:00:00.000Z,0.95,0.9999,0.95,0.9817,287518,3.8,3.9996,3.8,3.9268,71879,0,1
2018-06-29T00:00:00.000Z,0.9189,0.97,0.9,0.95,528508,3.6756,3.88,3.6,3.8,132127,0,1
2018-07-02T00:00:00.000Z,0.94,0.94,0.8809,0.91,1051051,3.76,3.76,3.5236,3.64,262762,0,1
2018-07-03T00:00:00.000Z,0.925266,0.9503,0.9,0.95,372933,3.701064,3.8012,3.6,3.8,93233,0,1
2018-07-05T00:00:00.000Z,0.9288,0.95,0.9087,0.95,267444,3.7152,3.8,3.6348,3.8,66861,0,1
2018-07-06T00:00:00.000Z,0.8923,0.94,0.8835,0.94,341472,3.5692,3.76,3.534,3.76,85368,0,1
2018-07-09T00:00:00.000Z,0.9101,0.9349,0.86,0.86,373739,3.6404,3.7396,3.44,3.44,93434,0,1
2018-07-10T00:00:00.000Z,0.8836,0.92,0.88,0.92,339192,3.5344,3.68,3.52,3.68,84798,0,1
2018-07-11T00:00:00.000Z,0.8451,0.8885,0.845,0.88,354057,3.3804,3.554,3.38,3.52,88514,0,1
2018-07-12T00:00:00.000Z,0.8412,0.85,0.82,0.8451,331476,3.3648,3.4,3.28,3.3804,82869,0,1
2018-07-13T00:00:00.000Z,0.8903,0.91594,0.830397,0.8341,424304,3.5612,3.66376,3.321588,3.3364,106076,0,1
2018-07-16T00:00:00.000Z,1.01,1.13,0.89,0.89,3251405,4.04,4.52,3.56,3.56,812851,0,1
2018-07-17T00:00:00.000Z,1.25,1.35,0.9,1.03,7874552,5,5.4,3.6,4.12,1968638,0,1
2018-07-18T00:00:00.000Z,1.09,1.32,1.08,1.23,5527084,4.36,5.28,4.32,4.92,1381771,0,1
2018-07-19T00:00:00.000Z,1.14,1.19,1.09,1.12,2215010,4.56,4.76,4.36,4.48,553752,0,1
2018-07-20T00:00:00.000Z,1.09,1.23,1.09,1.14,1410308,4.36,4.92,4.36,4.56,352577,0,1
2018-07-23T00:00:00.000Z,1.185,1.25,1.14,1.15,2958829,4.74,5,4.56,4.6,739707,0,1
2018-07-24T00:00:00.000Z,1.42,1.56,1.33,1.39,17822848,5.68,6.24,5.32,5.56,4455712,0,1
2018-07-25T00:00:00.000Z,1.255,1.37,1.23,1.34,2837962,5.02,5.48,4.92,5.36,709490,0,1
2018-07-26T00:00:00.000Z,1.2389,1.32,1.21,1.28,939991,4.9556,5.28,4.84,5.12,234997,0,1
2018-07-27T00:00:00.000Z,1.1689,1.2,1.0841,1.18,1385520,4.6756,4.8,4.3364,4.72,346380,0,1
2018-07-30T00:00:00.000Z,1.13,1.17,1.04,1.14,795782,4.52,4.68,4.16,4.56,198945,0,1
2018-07-31T00:00:00.000Z,1.05,1.1,1.02,1.1,700999,4.2,4.4,4.08,4.4,175249,0,1
2018-08-01T00:00:00.000Z,1.01,1.05,1.01,1.05,414600,4.04,4.2,4.04,4.2,103650,0,1
2018-08-02T00:00:00.000Z,1.05,1.08,0.98,1,614200,4.2,4.32,3.92,4,153550,0,1
2018-08-03T00:00:00.000Z,1.03,1.08,1.0091,1.05,634370,4.12,4.32,4.0364,4.2,158592,0,1
2018-08-06T00:00:00.000Z,0.9999,1.05,0.985,1.01,703589,3.9996,4.2,3.94,4.04,175897,0,1
2018-08-07T00:00:00.000Z,0.99,1.0295,0.99,1,511457,3.96,4.118,3.96,4,127864,0,1
2018-08-08T00:00:00.000Z,0.9651,0.99,0.9201,0.98,692374,3.8604,3.96,3.6804,3.92,173093,0,1
2018-08-09T00:00:00.000Z,0.962155,0.9859,0.93,0.9566,369047,3.84862,3.9436,3.72,3.8264,92261,0,1
2018-08-10T00:00:00.000Z,0.9602,0.9849,0.95,0.96,301047,3.8408,3.9396,3.8,3.84,75261,0,1
2018-08-13T00:00:00.000Z,0.964,0.97,0.93,0.97,279745,3.856,3.88,3.72,3.88,69936,0,1
2018-08-14T00:00:00.000Z,0.8999,0.9499,0.87,0.94,748213,3.5996,3.7996,3.48,3.76,187053,0,1
2018-08-15T00:00:00.000Z,0.8868,0.93,0.83,0.9,1024755,3.5472,3.72,3.32,3.6,256188,0,1
2018-08-16T00:00:00.000Z,0.86,0.9099,0.83,0.9,456321,3.44,3.6396,3.32,3.6,114080,0,1
2018-08-17T00:00:00.000Z,0.8917,0.9,0.832,0.85,682852,3.5668,3.6,3.328,3.4,170713,0,1
2018-08-20T00:00:00.000Z,0.88,0.915,0.85,0.89,322622,3.52,3.66,3.4,3.56,80655,0,1
2018-08-21T00:00:00.000Z,0.8715,0.9,0.86,0.9,185708,3.486,3.6,3.44,3.6,46427,0,1
2018-08-22T00:00:00.000Z,0.892,0.9,0.86,0.89,517459,3.568,3.6,3.44,3.56,129364,0,1
2018-08-23T00:00:00.000Z,0.86,0.915,0.845,0.9,536338,3.44,3.66,3.38,3.6,134084,0,1
2018-08-24T00:00:00.000Z,0.8787,0.8787,0.85,0.85,443990,3.5148,3.5148,3.4,3.4,110997,0,1
2018-08-27T00:00:00.000Z,0.9102,0.93,0.851,0.887,1178951,3.6408,3.72,3.404,3.548,294737,0,1
2018-08-28T00:00:00.000Z,1,1.07,0.95,0.95,3984837,4,4.28,3.8,3.8,996209,0,1
2018-08-29T00:00:00.000Z,0.97001,1.04,0.932,1.01,1680649,3.88004,4.16,3.728,4.04,420162,0,1
2018-08-30T00:00:00.000Z,0.9252,0.95,0.9,0.949,613028,3.7008,3.8,3.6,3.796,153257,0,1
2018-08-31T00:00:00.000Z,0.98,1,0.93,0.9333,668043,3.92,4,3.72,3.7332,167010,0,1
2018-09-04T00:00:00.000Z,1,1.07,0.98,1.04,2114828,4,4.28,3.92,4.16,528707,0,1
2018-09-05T00:00:00.000Z,0.91,0.98,0.9,0.98,1454988,3.64,3.92,3.6,3.92,363747,0,1
2018-09-06T00:00:00.000Z,0.9,0.92,0.865,0.87,578539,3.6,3.68,3.46,3.48,144634,0,1
2018-09-07T00:00:00.000Z,0.8825,0.9001,0.87,0.9,439329,3.53,3.6004,3.48,3.6,109832,0,1
2018-09-10T00:00:00.000Z,0.8895,0.903,0.87,0.87,344521,3.558,3.612,3.48,3.48,86130,0,1
2018-09-11T00:00:00.000Z,0.854,0.88,0.8425,0.87,463389,3.416,3.52,3.37,3.48,115847,0,1
2018-09-12T00:00:00.000Z,0.8285,0.85,0.81,0.85,482124,3.314,3.4,3.24,3.4,120531,0,1
2018-09-13T00:00:00.000Z,0.86,0.88,0.839,0.839,352841,3.44,3.52,3.356,3.356,88210,0,1
2018-09-14T00:00:00.000Z,0.842,0.8682,0.84,0.8429,406748,3.368,3.4728,3.36,3.3716,101687,0,1
2018-09-17T00:00:00.000Z,0.83,0.849,0.8251,0.8482,284959,3.32,3.396,3.3004,3.3928,71239,0,1
2018-09-18T00:00:00.000Z,0.86,0.8823,0.826,0.83,725205,3.44,3.5292,3.304,3.32,181301,0,1
2018-09-19T00:00:00.000Z,0.83,0.86,0.83,0.84,608521,3.32,3.44,3.32,3.36,152130,0,1
2018-09-20T00:00:00.000Z,0.83,0.853,0.83,0.85,359172,3.32,3.412,3.32,3.4,89793,0,1
2018-09-21T00:00:00.000Z,0.82,0.87,0.82,0.87,993958,3.28,3.48,3.28,3.48,248489,0,1
2018-09-24T00:00:00.000Z,0.7556,0.85,0.75,0.834,1023959,3.0224,3.4,3,3.336,255989,0,1
